drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
acceleration_sample_1,1595172306.009898,0,0,,,,,,,0.55,9.62,1.79,0.25,0.0,0.0
acceleration_sample_1,1595172306.078714,0,0,,,,,,,0.57,9.52,1.7,0.1875,0.125,0.0625
acceleration_sample_1,1595172306.14738,0,0,,,,,,,0.55,9.62,1.76,0.125,0.0625,0.125
acceleration_sample_1,1595172306.216503,0,0,,,,,,,0.55,9.53,1.73,0.3125,0.0625,0.0
acceleration_sample_1,1595172306.286168,0,0,,,,,,,0.56,9.53,1.71,0.25,0.0,0.0625
acceleration_sample_1,1595172306.355002,0,0,,,,,,,0.54,9.62,1.77,-0.0625,0.0,0.0
acceleration_sample_1,1595172306.424467,0,0,,,,,,,0.56,9.58,1.76,0.125,-0.0625,0.125
acceleration_sample_1,1595172306.493655,0,0,,,,,,,0.57,9.58,1.75,0.1875,0.1875,0.0625
acceleration_sample_1,1595172306.562095,0,0,,,,,,,0.55,9.6,1.78,-0.0625,-0.0625,0.0625
acceleration_sample_1,1595172306.630189,0,0,,,,,,,0.56,9.53,1.73,-0.0625,0.0,0.0625
acceleration_sample_1,1595172306.700952,0,0,,,,,,,0.55,9.62,1.79,0.0,0.0,0.0
acceleration_sample_1,1595172306.771319,0,0,,,,,,,0.54,9.52,1.74,-0.0625,-0.0625,0.0
acceleration_sample_1,1595172306.841017,0,0,,,,,,,0.57,9.6,1.74,-0.125,0.125,0.0
acceleration_sample_1,1595172306.910861,0,0,,,,,,,0.55,9.59,1.78,-0.125,0.0,0.0625
acceleration_sample_1,1595172306.981271,0,0,,,,,,,0.55,9.54,1.75,-0.0625,-0.125,-0.0625
acceleration_sample_1,1595172307.051614,0,0,,,,,,,0.58,9.61,1.77,-0.125,-0.0625,0.0625
acceleration_sample_1,1595172307.121758,0,0,,,,,,,0.56,9.51,1.74,-0.0625,-0.0625,0.0
acceleration_sample_1,1595172307.191659,0,0,,,,,,,0.57,9.61,1.76,0.0,0.1875,-0.125
acceleration_sample_1,1595172307.261678,0,0,,,,,,,0.56,9.55,1.77,-0.0625,-0.0625,0.0
acceleration_sample_1,1595172307.331352,0,0,,,,,,,0.55,9.56,1.73,0.1875,0.0,-0.125
acceleration_sample_1,1595172307.402249,0,0,,,,,,,0.55,9.61,1.77,0.0625,-0.0625,-0.0625
acceleration_sample_1,1595172307.472241,0,0,,,,,,,0.57,9.51,1.74,0.0,-0.1875,0.0625
acceleration_sample_1,1595172307.542174,0,0,,,,,,,0.53,9.62,1.78,0.0,0.1875,0.0
acceleration_sample_1,1595172307.611921,0,0,,,,,,,0.55,9.54,1.77,0.1875,0.125,-0.125
acceleration_sample_1,1595172307.681815,0,0,,,,,,,0.56,9.58,1.75,0.25,-0.125,0.0
acceleration_sample_1,1595172307.752168,0,0,,,,,,,0.56,9.59,1.77,-0.25,-0.125,0.0
acceleration_sample_1,1595172307.822435,0,0,,,,,,,0.53,9.53,1.73,0.0,0.125,0.0
acceleration_sample_1,1595172307.892229,0,0,,,,,,,0.55,9.63,1.76,0.0625,0.0625,-0.125
acceleration_sample_1,1595172307.962052,0,0,,,,,,,0.56,9.5,1.77,-0.125,0.0625,-0.125
acceleration_sample_1,1595172308.03351,0,0,,,,,,,0.54,9.59,1.73,-0.0625,0.0625,0.125
acceleration_sample_1,1595172308.103415,0,0,,,,,,,0.55,9.57,1.74,-0.25,0.0625,0.0
acceleration_sample_1,1595172308.173382,0,0,,,,,,,0.55,9.53,1.76,-0.125,-0.125,0.1875
acceleration_sample_1,1595172308.243227,0,0,,,,,,,0.55,9.63,1.76,0.125,0.1875,0.0625
acceleration_sample_1,1595172308.312999,0,0,,,,,,,0.53,9.54,1.77,0.1875,-0.125,0.0
acceleration_sample_1,1595172308.382759,0,0,,,,,,,0.55,9.62,1.74,0.125,0.0625,0.0
acceleration_sample_1,1595172308.453703,0,0,,,,,,,0.55,9.52,1.75,0.0625,-0.0625,0.0625
acceleration_sample_1,1595172308.523585,0,0,,,,,,,0.54,9.56,1.78,-0.0625,-0.125,0.125
acceleration_sample_1,1595172308.596474,0,0,,,,,,,0.57,9.62,1.78,-0.0625,0.0625,0.0
acceleration_sample_1,1595172308.667212,0,0,,,,,,,0.57,9.51,1.74,-0.125,-0.125,0.0
acceleration_sample_1,1595172308.738127,0,0,,,,,,,0.55,9.64,1.75,-0.1875,0.3125,0.0
acceleration_sample_1,1595172308.807928,0,0,,,,,,,0.54,9.51,1.72,0.0,-0.0625,0.0625
acceleration_sample_1,1595172308.879198,0,0,,,,,,,0.56,9.58,1.77,-0.1875,0.0,0.0
acceleration_sample_1,1595172308.954524,0,0,,,,,,,0.55,9.52,1.76,-0.125,-0.1875,0.125
acceleration_sample_1,1595172309.024391,0,0,,,,,,,0.55,9.61,1.8,-0.0625,0.0,-0.0625
acceleration_sample_1,1595172309.094791,0,0,,,,,,,0.54,9.57,1.73,0.0625,0.0625,0.0625
acceleration_sample_1,1595172309.164524,0,0,,,,,,,0.54,9.56,1.75,0.0625,0.0625,0.125
acceleration_sample_1,1595172309.234894,0,0,,,,,,,0.56,9.61,1.73,-0.0625,0.125,0.0625
acceleration_sample_1,1595172309.306535,0,0,,,,,,,0.53,9.54,1.73,-0.125,-0.125,0.0625
acceleration_sample_1,1595172309.377297,0,0,,,,,,,0.57,9.6,1.8,0.0,0.25,0.125
acceleration_sample_1,1595172309.448632,0,0,,,,,,,0.55,9.52,1.73,0.0,0.0,0.1875
acceleration_sample_1,1595172309.519838,0,0,,,,,,,0.54,9.59,1.77,0.125,0.0,0.0625
acceleration_sample_1,1595172309.591355,0,0,,,,,,,0.54,9.51,1.74,0.0,0.0,-0.125
acceleration_sample_1,1595172309.66222,0,0,,,,,,,0.55,9.6,1.76,-0.0625,-0.0625,-0.0625
acceleration_sample_1,1595172309.733473,0,0,,,,,,,0.58,9.55,1.73,0.0625,0.0625,-0.0625
acceleration_sample_1,1595172309.804455,0,0,,,,,,,0.54,9.55,1.75,-0.25,0.0,-0.0625
acceleration_sample_1,1595172309.874337,0,0,,,,,,,0.55,9.61,1.79,-0.125,0.0,-0.0625
acceleration_sample_1,1595172309.94483,0,0,,,,,,,0.55,9.51,1.74,-0.25,-0.125,-0.0625
acceleration_sample_1,1595172310.016228,0,0,,,,,,,0.56,9.63,1.77,-0.25,-0.0625,-0.1875
acceleration_sample_1,1595172310.086353,0,0,,,,,,,0.56,9.55,1.74,-0.125,-0.0625,-0.0625
acceleration_sample_1,1595172310.15613,0,0,,,,,,,0.55,9.59,1.75,0.0625,0.0625,0.0625
acceleration_sample_1,1595172310.225907,0,0,,,,,,,0.55,9.61,1.76,0.0625,0.125,0.0
acceleration_sample_1,1595172310.29566,0,0,,,,,,,0.56,9.52,1.74,0.0625,0.125,0.0625
acceleration_sample_1,1595172310.36539,0,0,,,,,,,0.56,9.61,1.79,-0.0625,0.0625,0.0
acceleration_sample_1,1595172310.435675,0,0,,,,,,,0.55,9.5,1.72,0.0625,-0.125,0.0625
acceleration_sample_1,1595172310.505462,0,0,,,,,,,0.56,9.6,1.77,0.0625,-0.125,0.0625
acceleration_sample_1,1595172310.577566,0,0,,,,,,,0.56,9.57,1.77,0.0,-0.0625,0.0625
acceleration_sample_1,1595172310.647847,0,0,,,,,,,0.56,9.52,1.74,-0.125,0.0,0.0
acceleration_sample_1,1595172310.71804,0,0,,,,,,,0.57,9.63,1.78,-0.0625,-0.0625,-0.0625
