,time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,right_enc,left_enc,path,distance
0,2020-02-15 17:36:51.296444,-0.71,8.83,-3.44,5.5625,-102.5,-32.75,7.125,-0.125,0.625,97.5625,-5.5,90.6875,431,431,S_123_P1,123.0
1,2020-02-15 17:36:52.980851,-1.21,9.13,-2.88,-8.5625,-86.1875,-13.6875,-0.1875,-6.5,1.5,96.9375,-5.375,90.5625,862,862,S_123_P1,123.0
2,2020-02-15 17:36:54.661269,-0.38,9.42,-1.69,-19.875,-135.6875,-0.0625,4.25,-0.1875,0.875,94.8125,-5.25,91.0625,1293,1293,S_123_P1,123.0
3,2020-02-15 17:36:56.345021,-0.89,10.91,-2.07,-19.0,-151.6875,44.5625,-6.6875,-3.3125,-1.125,94.5625,-5.625,90.5,1725,1724,S_123_P1,123.0
4,2020-02-15 17:36:58.028987,-0.19,10.94,-0.74,-20.0,-107.5625,88.25,-4.875,2.5,-1.25,95.1875,-5.25,90.875,2156,2155,S_123_P1,123.0
5,2020-02-15 17:40:50.236618,0.09,10.71,-0.71,-5.75,-65.6875,-24.0625,22.1875,4.75,3.375,102.125,-5.375,90.5,431,431,S_123_P2,123.9
6,2020-02-15 17:40:51.921297,-0.54,10.31,-0.65,-25.75,-102.5,-13.375,36.625,-0.4375,3.8125,102.0625,-5.6875,90.125,862,862,S_123_P2,123.9
7,2020-02-15 17:40:53.605065,-0.89,10.08,-2.28,-56.6875,-138.6875,-0.5625,4.25,1.3125,-1.1875,101.625,-5.25,90.25,1293,1293,S_123_P2,123.9
8,2020-02-15 17:40:55.288857,-0.15,9.67,-2.93,-52.5625,-107.6875,31.375,-4.8125,6.5625,-1.5625,102.3125,-5.25,90.0625,1724,1724,S_123_P2,123.9
9,2020-02-15 17:40:56.967613,-0.6,9.54,-3.51,-34.375,-85.75,66.0,-0.5,-2.375,1.25,103.75,-5.375,90.125,2155,2155,S_123_P2,123.9
10,2020-02-15 17:43:12.084694,-0.42,8.88,1.86,-5.5625,-64.1875,-21.0625,-12.875,12.8125,-1.0625,101.3125,-4.9375,90.5625,429,430,S_123_P3,122.5
11,2020-02-15 17:43:13.625057,-1.23,9.06,1.85,-28.25,-101.5625,-15.5625,-10.25,-2.125,-0.125,102.25,-5.5,90.25,859,860,S_123_P3,122.5
12,2020-02-15 17:43:15.167989,-0.6,9.61,2.07,-64.1875,-129.0,-7.25,-3.0,10.25,1.25,102.6875,-5.125,90.3125,1288,1290,S_123_P3,122.5
13,2020-02-15 17:43:16.714412,-0.65,9.78,2.15,-82.0,-140.1875,20.6875,-8.5,13.5625,-0.5625,102.25,-4.6875,90.125,1719,1720,S_123_P3,122.5
14,2020-02-15 17:43:18.258627,-1.67,9.98,1.95,-59.0,-130.5625,51.875,-16.5625,-2.625,-3.0,103.0,-4.8125,90.3125,2149,2150,S_123_P3,122.5
15,2020-02-15 17:44:33.606891,-0.76,10.17,2.25,18.375,-74.75,-35.75,-15.3125,7.9375,-1.4375,95.625,-4.9375,90.8125,430,430,S_123_P4,122.5
16,2020-02-15 17:44:35.152064,-0.25,8.97,1.96,7.0625,-114.5,-34.5,-12.375,10.625,-2.5625,95.0625,-5.0,90.5625,860,860,S_123_P4,122.5
17,2020-02-15 17:44:36.697222,-0.93,8.8,1.7,-12.1875,-159.375,-26.0,-2.75,1.0,3.3125,95.0625,-5.0,90.9375,1289,1290,S_123_P4,122.5
18,2020-02-15 17:44:38.244123,-0.92,9.75,2.09,-15.25,-186.6875,13.5625,-4.3125,-2.0625,0.1875,94.25,-5.0,90.625,1720,1719,S_123_P4,122.5
19,2020-02-15 17:44:39.788913,-1.2,9.69,1.94,-9.0625,-150.0,60.25,-12.0,1.6875,-1.75,95.25,-4.6875,91.0625,2150,2150,S_123_P4,122.5
20,2020-02-15 17:48:57.828139,-0.7,10.12,0.34,-4.0,-59.0,-15.6875,1.25,-12.9375,0.4375,102.5625,-4.9375,90.25,411,445,C_123_P1,123.2
21,2020-02-15 17:48:59.575993,-1.53,9.44,0.57,-31.25,-96.375,-15.375,-0.3125,-13.5,-4.5,111.875,-5.125,89.1875,823,890,C_123_P1,123.2
22,2020-02-15 17:49:01.323542,-1.41,9.78,-0.05,-79.75,-116.0625,-0.6875,1.0,-12.625,-0.375,120.375,-4.6875,88.375,1235,1335,C_123_P1,123.2
23,2020-02-15 17:49:03.074368,-1.51,9.8,-0.64,-100.0625,-99.0625,32.0,2.375,-20.125,0.3125,128.75,-4.6875,87.6875,1647,1780,C_123_P1,123.2
24,2020-02-15 17:49:04.823097,-1.1,9.64,-0.47,-90.25,-75.0625,58.5625,0.0625,-11.5625,-0.4375,137.0625,-4.1875,87.5,2059,2226,C_123_P1,123.2
25,2020-02-15 17:50:35.540924,-1.91,10.24,0.55,-23.875,-99.5,-104.5625,-4.875,-18.8125,-3.3125,109.0,-4.9375,90.0,411,445,C_123_P2,123.5
26,2020-02-15 17:50:37.292145,-0.86,10.4,0.5,-57.5,-130.25,-78.0625,-5.875,-21.8125,0.25,118.5,-4.8125,88.6875,823,891,C_123_P2,123.5
27,2020-02-15 17:50:39.038431,-1.31,9.38,-0.7,-94.0625,-126.5,-40.0625,3.3125,-23.875,0.6875,124.6875,-4.6875,88.0,1235,1337,C_123_P2,123.5
28,2020-02-15 17:50:40.784957,-1.98,10.47,0.4,-96.75,-103.75,-3.5,-0.75,-24.1875,-1.25,135.75,-4.9375,86.8125,1647,1783,C_123_P2,123.5
