drive name,time,left_enc,right_enc,euler_x,euler_y,euler_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
sample_drive_1,2020-03-01 01:44:45.935420,0,0,353.0625,2.5625,87.125,-3.875,-76.25,-16.875,0.38,9.35,0.39,-0.125,-0.125,-0.0625
sample_drive_1,2020-03-01 01:44:46.050289,16,16,352.4375,2.5,87.0625,-2.75,-76.5625,-14.1875,-0.07,9.86,1.96,5.375,10.375,1.0
sample_drive_1,2020-03-01 01:44:46.161447,50,49,351.9375,2.4375,87.5625,-1.25,-75.0625,-12.5625,0.94,11.49,0.49,9.625,-0.1875,-5.125
sample_drive_1,2020-03-01 01:44:46.273050,85,85,351.375,2.5625,87.5625,-0.5625,-74.375,-12.6875,1.17,8.96,-0.29,-2.875,9.625,8.625
sample_drive_1,2020-03-01 01:44:46.388407,119,119,350.9375,2.375,87.4375,1.1875,-72.1875,-12.375,0.04,7.45,0.53,-0.6875,6.8125,-2.75
sample_drive_1,2020-03-01 01:44:46.501945,153,153,350.6875,2.1875,87.1875,1.5625,-70.75,-13.0625,-0.71,7.92,0.76,-4.5,7.3125,-4.75
sample_drive_1,2020-03-01 01:44:46.616003,187,187,350.3125,2.375,87.0625,2.0,-68.5625,-13.0625,1.14,7.66,0.78,1.625,-6.125,-1.25
sample_drive_1,2020-03-01 01:44:46.732011,222,222,350.0,2.5625,87.125,2.375,-66.375,-12.0,0.31,10.54,0.14,0.625,0.9375,-0.75
sample_drive_1,2020-03-01 01:44:46.844819,256,256,349.875,2.5,87.375,4.5,-64.875,-11.5625,0.34,9.58,0.23,4.6875,4.25,0.8125
sample_drive_1,2020-03-01 01:44:46.957579,289,290,349.5625,2.75,87.1875,2.6875,-61.875,-10.75,0.67,8.11,0.21,-3.9375,-3.3125,1.25
sample_drive_1,2020-03-01 01:44:47.073519,325,325,349.3125,2.75,87.25,3.875,-59.6875,-10.0,0.15,8.48,0.35,-1.9375,4.0625,-0.75
sample_drive_1,2020-03-01 01:44:47.187670,359,359,348.9375,2.625,87.25,3.875,-58.25,-9.5625,0.15,8.26,0.22,3.0625,5.125,0.5
sample_drive_1,2020-03-01 01:44:47.300957,393,392,348.5625,2.5625,87.1875,3.5,-56.5,-8.875,0.18,9.78,0.16,4.0625,3.625,0.3125
sample_drive_1,2020-03-01 01:44:47.414211,427,427,347.8125,2.625,87.3125,2.0,-53.5625,-8.0625,0.39,7.58,0.19,-1.75,4.4375,-1.875
sample_drive_1,2020-03-01 01:44:47.528817,462,462,347.8125,2.25,87.375,3.0625,-52.5,-6.875,0.09,10.14,0.7,1.125,-1.25,-4.125
sample_drive_1,2020-03-01 01:44:47.642536,496,496,347.375,2.1875,87.3125,2.6875,-51.0,-5.375,0.18,7.72,0.41,-5.125,2.3125,-0.875
sample_drive_1,2020-03-01 01:44:47.758357,530,530,347.0625,2.1875,87.375,2.75,-48.875,-1.875,0.26,10.13,0.88,5.125,3.875,1.375
sample_drive_1,2020-03-01 01:44:47.873114,565,565,346.0625,2.5,87.5,2.75,-48.0625,-2.0,1.16,10.75,0.22,-4.75,3.5625,1.1875
sample_drive_1,2020-03-01 01:44:47.987614,600,599,345.8125,2.5,87.25,1.25,-46.6875,0.25,-0.51,8.94,-0.33,-11.0625,3.8125,-1.625
sample_drive_1,2020-03-01 01:44:48.101008,634,633,345.5625,2.375,87.3125,0.5625,-45.5625,2.6875,0.37,13.04,1.1,12.0,4.375,0.9375
sample_drive_1,2020-03-01 01:44:48.214344,667,667,344.9375,2.4375,87.1875,0.6875,-45.1875,3.75,1.06,8.97,0.24,-1.9375,7.0,-0.25
sample_drive_1,2020-03-01 01:44:48.327793,701,701,344.3125,2.375,87.25,0.0,-43.6875,5.75,0.46,10.49,-0.62,-5.0625,7.5,3.125
sample_drive_1,2020-03-01 01:44:48.441714,736,736,344.0,2.375,87.375,-1.0625,-44.75,6.875,0.64,11.41,-0.1,3.0,10.5,4.0625
sample_drive_1,2020-03-01 01:44:48.555533,770,770,342.9375,2.5,87.5625,-1.75,-44.375,9.25,-0.09,12.25,1.09,14.625,4.1875,-0.1875
sample_drive_1,2020-03-01 01:44:48.669332,804,804,342.6875,2.5,87.5625,-1.75,-45.25,10.75,-0.13,8.0,-0.14,0.0625,-0.8125,-2.375
sample_drive_1,2020-03-01 01:44:48.785176,839,839,342.4375,2.4375,87.4375,-1.75,-45.25,12.375,0.46,12.03,-0.21,3.3125,2.875,0.25
sample_drive_1,2020-03-01 01:44:48.898524,861,860,342.375,2.4375,87.5625,-2.0625,-46.0,13.1875,0.26,9.05,-1.77,-5.1875,-2.125,0.0
sample_drive_1,2020-03-01 01:44:49.014245,864,858,342.625,2.375,87.375,-2.375,-46.0,13.875,-0.01,9.11,0.01,0.8125,0.3125,0.3125
sample_drive_1,2020-03-01 01:44:49.128760,886,832,349.375,2.1875,87.375,-3.5,-45.6875,13.875,0.33,3.6,0.95,-6.1875,-133.3125,-10.8125
sample_drive_1,2020-03-01 01:44:49.242579,921,796,0.125,1.875,87.125,1.25,-45.25,17.0,0.37,8.06,0.49,-20.0,-173.75,-21.25
sample_drive_1,2020-03-01 01:44:49.358016,957,760,18.875,1.8125,87.375,9.75,-41.5625,19.25,0.05,12.33,-0.86,13.5625,-170.125,-3.4375
sample_drive_1,2020-03-01 01:44:49.472104,991,725,38.375,1.625,86.5625,14.0625,-40.5,17.5625,0.0,14.8,-0.32,-22.875,-155.875,-11.125
sample_drive_1,2020-03-01 01:44:49.584166,1017,704,56.0,1.1875,86.0,17.875,-38.875,13.6875,3.22,8.08,0.58,-10.9375,-132.75,-15.9375
sample_drive_1,2020-03-01 01:44:49.694240,1020,703,59.25,1.25,86.0,19.1875,-38.875,10.75,0.41,8.97,0.39,-0.4375,-0.375,-1.8125
sample_drive_1,2020-03-01 01:44:49.803743,1037,723,58.625,1.375,85.8125,18.6875,-39.25,10.875,0.2,9.65,1.97,6.875,5.8125,5.1875
sample_drive_1,2020-03-01 01:44:49.915007,1071,758,57.9375,1.5,86.0,18.0625,-37.75,11.5625,-0.54,8.24,0.9,2.8125,9.6875,-1.1875
sample_drive_1,2020-03-01 01:44:50.026829,1106,793,57.9375,1.25,86.125,19.875,-36.6875,13.875,0.53,11.88,0.44,5.6875,2.6875,-4.8125
sample_drive_1,2020-03-01 01:44:50.140681,1141,827,57.3125,1.25,86.125,20.5,-36.6875,16.5625,-0.11,10.59,0.24,-5.4375,6.8125,-4.0
sample_drive_1,2020-03-01 01:44:50.253126,1173,861,57.0625,1.0625,86.3125,20.75,-36.25,17.375,-0.15,8.36,0.88,-1.125,13.4375,-2.75
sample_drive_1,2020-03-01 01:44:50.366459,1207,895,56.4375,1.1875,86.1875,21.75,-36.6875,19.375,0.7,8.56,0.3,-3.1875,-2.4375,3.25
sample_drive_1,2020-03-01 01:44:50.481827,1242,929,55.9375,1.3125,86.1875,23.25,-37.0625,18.5,-0.25,8.36,0.13,2.0,-0.8125,0.9375
